column,dtype,non_null_count,missing_count,missing_rate,unique_count,sample_values
Số phòng ngủ:,str,9003,1,0.00011106175033318525,11,"[""4 phòng"", ""3 phòng"", ""2 phòng"", ""6 phòng"", ""5 phòng""]"
Số phòng vệ sinh:,str,9003,1,0.00011106175033318525,7,"[""3 phòng"", ""2 phòng"", ""6 phòng"", ""5 phòng"", ""4 phòng""]"
Loại hình nhà ở:,str,9003,1,0.00011106175033318525,4,"[""Nhà mặt phố, mặt tiền"", ""Nhà ngõ, hẻm"", ""Nhà phố liền kề"", ""Nhà biệt thự""]"
Tình trạng nội thất:,str,9003,1,0.00011106175033318525,4,"[""Nội thất đầy đủ"", ""Nội thất cao cấp"", ""Hoàn thiện cơ bản"", ""Bàn giao thô""]"
Diện tích sử dụng:,str,9003,1,0.00011106175033318525,404,"[""89 m²"", ""120 m²"", ""72 m²"", ""162 m²"", ""140 m²""]"
Tình trạng bất động sản:,str,8998,6,0.0006663705019991116,2,"[""Đã bàn giao"", ""Chưa bàn giao""]"
Diện tích:,str,8998,6,0.0006663705019991116,172,"[""67 m²"", ""40 m²"", ""76 m²"", ""80 m²"", ""55 m²""]"
Loại hình căn hộ:,str,8998,6,0.0006663705019991116,6,"[""Chung cư"", ""Căn hộ dịch vụ, mini"", ""Duplex"", ""Tập thể, cư xá"", ""Officetel""]"
Tổng số tầng:,str,8992,12,0.0013327410039982231,10,"[""4"", ""2"", ""5"", ""1"", ""3""]"
Tên phân khu/Lô/Block/Tháp:,str,8969,35,0.003887161261661484,253,"[""Dự án Tín Hưng"", ""B"", ""Khu dân cư an phú hưng"", ""Bệnh viện Xuyên Á Tây Ninh"", ""A""]"
Mã căn / Mã căn hộ:,str,8969,35,0.003887161261661484,111,"[""124/14/15"", ""913"", ""A"", ""8"", ""111""]"
Tầng số:,str,8957,47,0.005219902265659707,29,"[""2"", ""1"", ""10"", ""26"", ""19""]"
Hướng ban công:,str,8957,47,0.005219902265659707,8,"[""Nam"", ""Đông Bắc"", ""Tây"", ""Đông Nam"", ""Tây Bắc""]"
Mã lô:,str,8952,52,0.005775211017325633,76,"[""C10"", ""14"", ""56"", ""6"", ""469""]"
Đặc điểm căn hộ:,str,8935,69,0.007663260772989782,1,"[""Căn góc""]"
Loại hình văn phòng:,str,8713,291,0.03231896934695691,3,"[""Shophouse"", ""Mặt bằng kinh doanh"", ""Văn phòng""]"
