title,price,area,location,description,Diện tích đất:,Giá/m2:,Hướng cửa chính:,Giấy tờ pháp lý:,Đặc điểm nhà/đất:,Loại hình đất:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng vệ sinh:,Loại hình nhà ở:,Tình trạng nội thất:,Diện tích sử dụng:,Tình trạng bất động sản:,Diện tích:,Loại hình căn hộ:,Tổng số tầng:,Tên phân khu/Lô/Block/Tháp:,Mã căn / Mã căn hộ:,Tầng số:,Hướng ban công:,Mã lô:,Đặc điểm căn hộ:,Loại hình văn phòng:
"Bán Nhà 1 Trệt 2 Lầu, HXH, P.HBP, 54m2, Giá 4.98Tỷ","4,98 tỷ- 54 m2",- 54 m2,"Đường số 8, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","Chính Chủ Bán Gấp Nhà 1 trệt 2 lầu, Hẻm Ô Tô, Hiệp Bình Phước, Thủ Đức, Giá Chỉ 4.98 Tỷ

Kẹt tiền cần bán gấp nhà 1 trệt 2 lầu, kiên cố đẹp, đường ô tô đậu trước nhà, đường số 8, phường Hiệp Bình Phước, quận Thủ Đức, diện tích 54m2, giá chỉ 4,98 tỷ.

Nhà gần chợ Hiệp Bình, siêu thị, di chuyển 5 phút ra Gigamall Phạm Văn Đồng, Khu đô thị Vạn Phúc,15 phút vào sân bay Quận 1. Bán kính 2km là trường học các cấp.

-Thông tin mô tả:

+ Diện tích 54m2: ngang 4.5m, dài 12m.

+ Kết cấu: 3 tầng BTCT, đẹp, kiên cố, 4 phòng ngủ, 5 WC, tủ âm tường, tặng nội thất gỗ xịn xò.
+ Đường hơn 8m, có vỉa hè, cây xanh, khu dân cư phân lô, dân trí, đường thông thoáng, sạch sẽ, thông tứ tung, ngay trong KDC Hồng Long.
+ Khu vực yên tĩnh, toàn nhà cao tầng, dân trí cao, an ninh, 20m ra công viên với đầy đủ tiện ích.
+ Bán kính 500m có đầy đủ trường từ mầm non đến cấp 3, Siêu thị, chợ ...
+ Các nhà bên cạnh ngang nhỏ hơn nhưng đang chào giá 5.3 tỷ, chủ muốn bán nhanh lấy tiền công chứng nhà mới nên chào giá rẻ khu vực.

- Pháp Lý:
Sổ hồng vuông vức như tờ A4, hoàn công đầy đủ, công chứng trong ngày.

Liên hệ ngay để mua chính chủ",54 m²,"92,22 triệu/m²",Bắc,Đã có sổ,Nở hậu,Đất thổ cư,4.5 m,12 m,4 phòng,5 phòng,"Nhà ngõ, hẻm",Nội thất đầy đủ,162 m²,Đã bàn giao,67 m²,Chung cư,,,,,,,,
Bán Lô Đất 3300M2 1Tr4/M2Lý Thường Kiệt Tp Bảo Lộc,"1,4 tỷ- 3.300 m2",- 3.300 m2,"Đường Lý Thường Kiệt, Phường Lộc Phát, Thành phố Bảo Lộc, Lâm Đồng","- Bán Lô Đất 3300M2 MT Hẻm Cách Đường Lớn Lý Thường Kiệt 200M Sổ Vuông góc view rất đẹp 
- Đất Thuộc Phường Lộc Phát Tp Bảo Lộc 
Đường Trước Đất Là Đường 5,2M Xe ÔTÔ Đi Vô Tư 
- Đối Diện Khu Dự Án Phân Lô , Đất Triền nhẹ Nhìn View Đất Rất Đẹp Có 300M Mặt Tiền 
Vị Trí : Phường Lộc Phát - Tp Bảo Lộc - T Lâm Đồng 
- Giá Chỉ 1Tr4/M2 
DT: Trên Sổ 4000M2 Đất Thật Tế 3300M2 
Pháp Lý Sổ Sách Đầy Đủ 
A/C QT LH SĐT",3300 m2,424.242 đ/m2,Bắc,Đã có sổ,Mặt tiền,Đất nông nghiệp,4.5 m,12 m,4 phòng,5 phòng,"Nhà ngõ, hẻm",Nội thất đầy đủ,162 m²,Đã bàn giao,67 m²,Chung cư,,,,,,,,
Tôi bán nhà xây mới 100% 4 lầu tặng nội thất 1%MG,"5,5 tỷ- 36.3 m2",- 36.3 m2,"Đường Lê Quang Định, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","Tôi cần bán nhà mới xây 100% đường Lê Quang định. Bình thạnh 

DT : 4,7m * 7,5m. Nở Hậu 6,10m Công Nhận : 36,5m2.
Kết Cấu: 1 Trệt, 2 Lầu, Sân thượng Đúc. Có 3PN, 4WC . Căn Góc 2 mặt hẻm Thoáng Mát
Khu Dân Trí Cao - sang trọng- lịch sự 
Hẻm Nội Bộ 3 Căn Nhà. Cách 10m Ra HXH Quay Đầu.
Giá bán: 5,5 Tỷ TL
Phí aecmg 1%.",36.3 m²,"152,78 triệu/m²",Nam,Đã có sổ,Mặt tiền,Đất nông nghiệp,4.7 m,7.5 m,3 phòng,4 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,140 m²,Đã bàn giao,67 m²,Chung cư,4,,,,,,,
BÁN NỀN KHU DÂN CƯ MINH THẮNG,"1,57 tỷ- 115 m2",- 115 m2,"KHU DÂN CƯ MINH THẮNG - CÀ MAU, Phường 9, Thành phố Cà Mau, Cà Mau","🍁Cần bán gấp lô đất nhà phố khu Minh Thắng, diện tích 115.8m2.
(Tặng ngay bộ thiết kế nhà hiện đại khu Minh Thắng trị giá 50tr đồng).
🍁Đường số 7, lòng đường đã thảm nhựa 8m, vỉa hè đã lót gạch 4,25m.
🍁Hệ thống điện âm 
Diện tích 6*19.3m = 115.8m2.
🍁Hướng Đông Bắc.
🍁Pháp lý: Sổ đỏ riêng.
🍁 Vị Trí: Khu Minh Thắng đang đấu nối ra đường Nguyễn Trãi.
Đường Tạ Uyên đang làm và đấu nối qua phường 8.
Bệnh viện TN thành phố Cà Mau đang thi công.
🍁Trường học từ mẫu giáo đến cấp 3 ở sát bên (bán kính 500m).
Khách sạn Mường Thanh, siêu thị và các shophouse Vincom, trung tâm Hội nghị tỉnh,... Cách 1km.
Các dự án: Licogi, phát triển nhà, tái định cư phường 1,... Sát bên. Hứa hẹn thành khu vực sầm uất nhì Cà Mau.
🍁Giá chính chủ 1ty570 (giá công ty và thị trường hiện là 1 tỷ 700tr)",115 m2,"13,65 triệu/m2",Đông Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,6 m,19 m,3 phòng,4 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,140 m²,Đã bàn giao,67 m²,Chung cư,4,,,,,,,
Đất nền giá đầu tư becamex,580 triệu- 250 m2,- 250 m2,"QL13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương","🔥ĐẤT NỀN TRUNG TÂM HÀNH CHÍNH BÀU BÀNG🔥
🌝🌝 Sổ hồng sẵn,riêng từng nền. 🌝🌝
❌GIÁ CHỈ 580tr/NỀN ❌
#ngân hàng hỗ trợ đến 70%
- Thổ cư 100%, điện âm, nước máy.
- Đường nhựa 16-25m.
- Bán kính 500m : Chợ, TTHC, Trường học cấp 1,2,3, công viên.
🛑 Có hỗ trợ ngân hàng cho ai tài chính yếu. 
🏛️ Xung quanh dân cư đông đúc kinh doanh buôn bán sầm uất vì cần tiền nên tôi cần bán gấp và giá rất rẻ so với khu vực.
————————————
☎ LIÊN HỆ để biết thêm thông tin",250 m2,"2,32 triệu/m2",Đông Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,10 m,25 m,3 phòng,4 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,140 m²,Đã bàn giao,67 m²,Chung cư,4,,,,,,,
Cần bán 3 xào trồng tiêu đang thu hoạch,1 tỷ- 3.031 m2,- 3.031 m2,"Đường 765, Xã Sông Ray, Huyện Cẩm Mỹ, Đồng Nai","Do không có thời gian chăm sóc, vợ chồng tôi Cần bán lô đất 3 xào đang trồng tiêu, đường chợ ấp 3 Sông Ray đi vô, cách trục đường 765 1,2km, dân cư ở đông. Gần trường, gần chợ. Có hệ thống tưới nhỏ giọt, tiêu đang cho thu hoạch rất đẹp. 
Ngang 51 mét dài 55m , đường rộng, đường thông, xe tải đi vô tư.
Giá cần bán: 1 tỷ trọn sổ
Ai quan tâm liên hệ trực tiếp số điện thoại để thương lượng giá và đi xem đất trực tiếp.",3031 m2,329.924 đ/m2,Nam,Đã có sổ,Mặt tiền,Đất nông nghiệp,51 m,55 m,3 phòng,4 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,140 m²,Đã bàn giao,67 m²,Chung cư,4,,,,,,,
"Bán đất 440m2 (6 x 72) mặt tiền Tỉnh lộ 934, ST",580 triệu- 440 m2,- 440 m2,"Đường Tỉnh lộ 934, Xã Viên Bình, Huyện Trần Đề, Sóc Trăng","Ngang 6x72m (440m2), thổ cư 100m2, đất trồng cây lâu năm 340m2
Đất đã xây dựng tường rào bao quanh cao 1m5, cổng sắt kiên cố cao 6m (kiểu biệt thự)
Vị trí lô đất rất thuận lợi như: mặt trước và sau lô đất đều giáp mặt sông, gần ubnd xã Viên Bình, gần trường học, bệnh viện, đặc biệt nằm ngay trục đường chính đi tàu cao tốc đi Sóc Trăng - Côn Đảo
Giá bán 580.000.000 đồng (thương lượng nhẹ)",440 m2,"1,32 triệu/m2",Đông Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,6 m,72 m,3 phòng,4 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,140 m²,Đã bàn giao,67 m²,Chung cư,4,,,,,,,
"Nhà Chính Chủ, Tô Ký ,Q12.Bao sang tên công chứng.",720 triệu- 45 m2,- 45 m2,"Đường Tô Ký, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","Vì tình hình kinh tế khó khăn mình cần tiền, muốn bán lại nhà riêng gần ngay công viên phần mềm Quang Trung, quận 12.

+ Tặng full nội thất cao cấp, vào ở ngay!

+ Nhà 1 trệt 1 lầu: đúc kiên cố bao đẹp và chắc chắn vì nhà mới xây được gần một năm nên còn rất mới và đẹp.

+ Diện tích sử dụng 45m2 (gồm 3 phòng ngủ, 2 nhà vệ sinh)

+ Nhà gần các hướng đi trung tâm thành phố, đi Gò Vấp 5 phút, đi Thủ Đức 10 phút, và tiện các hướng đi lại cho việc đi làm các quận trong trung tâm thành phố.

+ Nằm ngay sau cầu vượt Quang Trung, cách Chợ Cầu 2 phút, nhà trẻ nằm ngay sau lưng, trường tiểu học Nguyễn Du kế bên.

+ Nhà có thể cho thuê với mức giá 4_5 triệu/tháng vì nhu cầu thuê nhà của sinh viên trường cao đẳng gần nhà là rất lớn.
Liên hệ : Khang để pik thêm thông tin và thương lượng bớt lộc.",45 m²,16 triệu/m²,Đông Bắc,Đã có sổ,Nở hậu,Đất thổ cư,5 m,9 m,3 phòng,2 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,45 m²,Đã bàn giao,67 m²,Chung cư,4,,,,,,,
"BÁN ĐẤT SƠN ĐÔNG, 100% THỔ CƯ, GẦN BÙNG BINH MŨ","1,3 tỷ- 198 m2",- 198 m2,"Quốc Lộ 60, Xã Sơn Đông, Thành phố Bến Tre, Bến Tre","🌍 Vị trí: QL60, Sơn Đông, TP Bến Tre.
🏠 Diện tích: 197.8m2, ngang 8m, 100% thổ cư.
⛳ Cách bùng binh Mũ chỉ 150m, khu dân cư đông đúc.
🎯 Phù hợp để ở hoặc đầu tư.
💰 Giá bán: 1.3 tỷ (TL chủ)",198 m2,"6,57 triệu/m2",Đông Bắc,Đã có sổ,Nở hậu,Đất thổ cư,8 m,9 m,3 phòng,2 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,45 m²,Đã bàn giao,67 m²,Chung cư,4,,,,,,,
🔰BÁN GẤP NHÀ 2 LẦU XÂY MỚI 100% - Đ.PHAN HUY CHÚ,"4,6 tỷ- 70 m2",- 70 m2,"Đường Phan Huy Chú, Phường An Khánh, Quận Ninh Kiều, Cần Thơ","--CHỦ KẸT TIỀN GIẢM NGAY 400 TRIỆU--

NHÀ MỚI XÂY 1 TRỆT 2 LẦU CỔ ĐIỂN - MẶT TIỀN ĐƯỜNG PHAN HUY CHÚ - CÁCH CHỢ AN KHÁNH CHỈ 80M 

- Diện tích: 5m x 14m = 70m2. DTSD = 210m2 
- Pháp lý thổ cư 100%, sổ hồng hoàn công
- Hướng Tây Nam
- Lộ giới 12m (3-6-3)
- Kết cấu nhà gồm: 1P khách, 4P ngủ rộng, Nhà bếp + 4Wc, sân sau + ban công thoáng mát, nhà thiết kế cổ điển cao cấp.
- Vị trí nhà rất đẹp nằm trên mặt tiền đường thông thoáng. Cách Chợ An Khánh chỉ 80m, UBND-CAND chỉ 150m, đại học Y Dược 300m, trướng cấp 1,2,3 chỉ 200m, tiện ích đầy đủ.
- Giá Cũ: 5 tỉ
- Giá Mới: 4 tỉ 600 triệu",70 m²,"65,71 triệu/m²",Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5 m,14 m,4 phòng,4 phòng,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,210 m²,Đã bàn giao,67 m²,Chung cư,2,,,,,,,
"Nhà hẻm 171 Lý Thái Tổ ,Tân Lợi.BMT","5,7 tỷ- 215 m2",- 215 m2,"Đường Lý Thái Tổ, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","Nhà mê 171 Lý Thái Tổ hướng Tây Nam
Ngay Nguyễn hữu thọ
9.3 x 28 nở hậu 12 chữ L
Hẻm thông hà huy tập 2 xe tải né nhau 
Gồm:
+ 3 phòng ngủ 
+ 1 phòng khách 
+ 1 phòng thờ
+ 2 wc
+ sân để ôtô rộng 
+ giàn lan + bể cá coi + hòn non bộ...
Gần metro - coopmart - công an Tp- làng CF 

--------------------------------------------- 
Giá 5tỷ7",215 m²,"26,51 triệu/m²",Tây Nam,Đã có sổ,Nở hậu,Đất thổ cư,9 m,28 m,3 phòng,2 phòng,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,215 m²,Đã bàn giao,67 m²,Chung cư,2,,,,,,,
Siêu phẩm nhà Vĩnh Quỳnh 40m2 Ôtô vào nhà 2.3 tỷ,"2,3 tỷ- 40 m2",- 40 m2,"Vĩnh Quỳnh, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội","Bán nhà Vĩnh Quỳnh-Thanh Trì 40m2 phân lô Ôtô vào nhà,kinh doanh sầm uất giá 2.3 tỷ
-Vị trí trước nhà đẹp thông thoáng,nằm trong khu phân lô,ô tô vào nhà.
-Khu vực dân cư đông đúc,kinh doanh sầm uất.An ninh tốt,hàng xóm láng giềng thân thiện
-Cách đường quốc lộ 1a 300m,giao thông kết nối Ngọc Hồi,Đại Áng,Tứ Hiệp
+ Chủ xây cực kỳ chắc chắn,thiết kết 5 tầng
Tầng 1: Gara + phòng khách + bếp + WC.
Tầng 2,3,4: Mỗi tầng 2 phòng ngủ + WC.
Tầng 5: Phòng thờ + sân phơi. 
+ Sổ đỏ chính chủ,sẵn sàng giao dịch
+Giá: 2.3 tỷ có thương lượng",40 m²,"57,5 triệu/m²",Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,9 m,28 m,4 phòng,3 phòng,"Nhà ngõ, hẻm",Nội thất đầy đủ,40 m²,Đã bàn giao,67 m²,Chung cư,5,,,,,,,
"Bán nhà mặt tiền chợ Hoàng Hoa Thám, p13, qTB",24 tỷ- 74.4 m2,- 74.4 m2,"Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","Ngang 4x18,6 nhà 3 lầu (đường 12m, lề 6m)
Khu VIP Tân Bình tập trung nhiều tiện ích gồm: trục chính nhà ga sân bay T3 (600m), nhà ga Metro Nguyễn Hồng Đào (400m), sát chợ Hoàng Hoa Thám (10m), ngân hàng, trường học, bệnh viện,...
Khu vực rất hiếm nhà bán, tiện ở hoặc cho thuê (hiện đang cho thuê một phần mặt tiền tầng trệt giá 25tr/ tháng)
Giá 24tỷ (thương lượng nhẹ)
Miễn tiếp đăng quảng cáo",74.4 m²,"324,32 triệu/m²",Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4 m,18.6 m,6 phòng,3 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,198 m²,Đã bàn giao,67 m²,Chung cư,5,,,,,,,
1TRỆT 2 LẦU 3 PHÒNG NGỦ 1 PHÒNG TẬP GYM 3WC,"3,65 tỷ- 33 m2",- 33 m2,"Đường Số 3, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","NHÀ BÁN ĐS 3, P9, Gò Vấp
🍎DT: 3 m nở hậu 3,10 m x 11 m 
🍏1 trệt 2 lầu 3 phòng ngủ 3 wc 1 p tập GYM
Bếp - phòng khách đẹp full toàn nội thất trong nhà
🍎Tặng : 1 máy giặt - 1 máy sấy - 3 máy lạnh - 1 tủ lạnh - tivi 55in giường - bàn phấn- bàn Sofa - bàn ăn bếp - máy tập thể dục - cầu thang ốp gỗ và vàng v v ( nhà y như hình)
💰Giá 3 tỷ 650tr bớt Lộc",33 m²,"110,61 triệu/m²",Đông Nam,Đã có sổ,Nở hậu,Đất thổ cư,3 m,11 m,3 phòng,3 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,99 m²,Đã bàn giao,67 m²,Chung cư,5,,,,,,,
Bán nhà 90m gần ngay Bệnh Viện Nhi Đồng 3,950 triệu- 90 m2,- 90 m2,"36, Đường Trương Văn Đa, Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh",Tôi chính chủ cần bán căn nhà mặt tiền đường Trương Văn Đa. Sát ngay bệnh Viện Nhi Đồng 3. Gần đường Võ Trần Trí. Đi tới quận 1 chỉ mất 35p hướng đường Võ Văn Kiệt.,90 m²,"10,56 triệu/m²",Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5 m,18 m,2 phòng,1 phòng,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,70 m²,Đã bàn giao,67 m²,Chung cư,5,,,,,,,
Nhà như hình đường 8m 2 lầu đúc thật dt 4x13m,"4,5 tỷ- 52 m2",- 52 m2,"Đường Nguyễn Quý Yêm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","đường Nguyễn Quý Yêm an lạc bình tân 

nhà mới như hình Nhà mới xây xong 2019
hẻm xe hơi 8m thông ra đại lộ Võ Văn Kiệt , bùi tư toàn , Lê cơ...
gần siêu thị nhật bến xe miền tây bệnh viện Triều An 5ph đi xe máy 
gần Trường học cấp 1.2.3 100m 
Trệt 2 lầu đúc BTCT 4 phòng ngủ 3 toilet vào ở liền 
Diện tích 4x13m xây dựng đủ KHÔNG LỘ GIỚI
Sổ hồng hoàn công , pháp lý rõ ràng
Giá 4tỷ 500 triệu thương lượng",52 m²,"86,54 triệu/m²",Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5 m,18 m,4 phòng,5 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,70 m²,Đã bàn giao,67 m²,Chung cư,5,,,,,,,
